dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02350GKS,"Rear Cover With NFC - White, Huawei P8 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,1,1.27,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02350KCD,"LCD touchscreen incl. Battery - White, Huawei P8 Lite",Display,"Leverbaar, alleen uit voorraad",Original,2,14.65,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02350USN,"LCD Touchscreen incl. Battery - Blue, Honor 8",Display,"Leverbaar, alleen uit voorraad",Original,3,26.64,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02350VAS,"LCD Touchscreen - Black, Honor 8",Display,"Leverbaar, alleen uit voorraad",Original,2,36.11,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02350YRH,"LCD Touchscreen incl. Battery - Black, Huawei Nova",Display,"Leverbaar, alleen uit voorraad",Original,2,30.03,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351DHQ,"Rear Cover - Black, Huawei P10",Housing,"Leverbaar, alleen uit voorraad",Original,9,11.24,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351DLA,"Rear Cover - Gold, Huawei P10",Housing,"Leverbaar, alleen uit voorraad",Original,1,14.66,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351DMD,"LCD Touchscreen - Black, Huawei Y5 (2017)",Display,"Leverbaar, alleen uit voorraad",Original,3,17.63,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351DNG,"LCD Touchscreen incl. Battery - White, Huawei P8 Lite 2017",Display,"Leverbaar, alleen uit voorraad",Original,2,47.5,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351FAQ,"Daughterboard, Huawei P10 Lite ",Connector,"Leverbaar, alleen uit voorraad",Original,2,4.0,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351FRY,"Backcover - Black, Huawei P10 Plus",Housing,"Leverbaar, alleen uit voorraad",Original,3,15.84,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351FSC,"LCD Touchscreen incl. Battery - White, Huawei P10 Lite",Display,"Leverbaar, alleen uit voorraad",Original,4,45.55,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351FSL,"LCD Touchscreen incl. Battery - Blue, Huawei P10 Lite",Display,"Leverbaar, alleen uit voorraad",Original,2,45.77,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351FSN,"LCD Touchscreen incl. Battery - Gold, Huawei P10 Lite",Display,"Leverbaar, alleen uit voorraad",Original,1,25.47,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351FXA,"Rear cover - White, Huawei P10 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,1,15.89,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351FXB,"Rear cover - Black, Huawei P10 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,19,9.89,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351JPD,USB Connector - Huawei P8 Lite 2017 / P9 Lite 2017,Connector,"Leverbaar, alleen uit voorraad",Original,25+,3.09,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351KTV,"LCD Touchscreen - Gold/Silver, Huawei Honor 6A",Display,"Leverbaar, alleen uit voorraad",Original,2,13.44,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351KTW,"LCD Touchscreen - Grey, Huawei Honor 6A",Display,"Leverbaar, alleen uit voorraad",Original,2,13.44,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351LBV,"LCD Touchscreen incl. Battery - Blue, Huawei Honor 9_x000D_
",Display,"Leverbaar, alleen uit voorraad",Original,1,57.69,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351LGE,"Rear Cover - Silver, Huawei Honor 9_x000D_
",Housing,"Leverbaar, alleen uit voorraad",Original,1,7.33,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351LGH,"Rear Cover - Grey, Huawei Honor 9_x000D_
",Housing,"Leverbaar, alleen uit voorraad",Original,1,6.11,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351PNS,LCD+Touch incl. Battery Brown;Huawei Mate 10,Display,"Leverbaar, alleen uit voorraad",Original,9,51.13,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351QAH,"LCD Touchscreen incl. Battery - Grey, Huawei Mate 10",Display,"Leverbaar, alleen uit voorraad",Original,8,46.83,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351QCY,"LCD Touchscreen incl. Battery - Black, Huawei Mate 10 Lite",Display,"Leverbaar, alleen uit voorraad",Original,9,33.52,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351QPC,"Rear Cover - Black, Huawei Mate 10 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,3,10.74,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351QQC,"Rear Cover - Gold, Huawei Mate 10 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,1,7.21,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351QXM,"Rear Cover - Blue, Huawei Mate 10 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,2,14.97,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351RWG,"Rear Cover - Grey, Huawei Mate 10 Pro",Housing,"Leverbaar, alleen uit voorraad",Original,1,64.3,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351SNQ,"LCD Touchscreen incl. Battery - Blue, Huawei Honor 9 Lite",Display,"Leverbaar, alleen uit voorraad",Original,1,30.75,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351SNR,"LCD Touchscreen incl. Battery - Grey, Huawei Honor 9 Lite_x000D_
",Display,"Leverbaar, alleen uit voorraad",Original,1,30.47,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351SVE,LCD touchscreen incl. Battery - White;Huawei P Smart,Display,"Leverbaar, alleen uit voorraad",Original,25+,13.98,1,10
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351SVJ,LCD touchscreen incl. Battery - Black;Huawei P Smart,Display,"Leverbaar, alleen uit voorraad",Original,8,31.1,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351TED,"Rear Panel - Blue, Huawei P Smart",Housing,"Leverbaar, alleen uit voorraad",Original,5,7.38,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351TEE,"Rear Panel - Gold, Huawei P Smart",Housing,"Leverbaar, alleen uit voorraad",Original,6,7.13,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351TEF,"Rear Panel - Black, Huawei P Smart",Housing,"Leverbaar, alleen uit voorraad",Original,25+,6.4,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351UQD,"USB Connector - Huawei P9_x000D_
",Connector,"Leverbaar, alleen uit voorraad",Original,1,5.49,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351USA,"LCD Touchscreen incl. Battery - Black, Huawei Y7 2018",Display,"Leverbaar, alleen uit voorraad",Original,1,54.7,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351VPT,"Rear Cover - Black, Huawei P20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,25+,2.57,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351VQY,"Rear Cover - Pink, Huawei P20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,12,6.89,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351VTV,"Rear Cover - Blue, Huawei P20 Lite",Housing,"Leverbaar, alleen uit voorraad",Original,25+,5.91,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351VUV,LCD+Touch Blue;Huawei P20 Lite,Display,"Leverbaar, alleen uit voorraad",Original,25+,38.91,1,10
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351VUW,LCD+Touch Pink;Huawei P20 Lite,Display,"Leverbaar, alleen uit voorraad",Original,1,35.7,1,1
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WJV,"Daughterboard, Huawei P20 ",Connector,"Leverbaar, alleen uit voorraad",Original,7,6.6,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WKF,LCD+Touch Black;Huawei P20,Display,"Leverbaar, alleen uit voorraad",Original,25+,38.9,1,10
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WKH,"Frame - Blue, Huawei P20 ",Housing,"Leverbaar, alleen uit voorraad",Original,1,29.25,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WKJ,"Frame - Black,  Huawei P20 ",Housing,"Leverbaar, alleen uit voorraad",Original,8,27.68,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WKU,Rear Panel - Huawei P20 Blue,Housing,"Leverbaar, alleen uit voorraad",Original,25+,5.72,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WKV,Rear Panel - Huawei P20 Black,Housing,"Leverbaar, alleen uit voorraad",Original,25+,4.77,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WKW,Rear Panel - Huawei P20 Pink,Housing,"Leverbaar, alleen uit voorraad",Original,3,6.49,1,0
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WLJ,"LCD Touchscreen incl. Battery - Black, Huawei Y6 2018",Display,"Leverbaar, alleen uit voorraad",Original,8,18.51,1,2
2S,2S_huawei.csv,2S_huawei.xlsx,"(303, 9)",02351WLK,"LCD Touchscreen - White, Huawei Y6 (2018)",Display,"Leverbaar, alleen uit voorraad",Original,3,17.7,1,1
