dealer_name,filename2,filename,shape,Part number,Part description,Part category,Status,Quality,On stock,Price ex tax,Packaged quantity,Max order quantity
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",280100000B1A,"Upper Speaker, Xiaomi Poco M3",Audio/speaker,"Leverbaar, alleen uit voorraad",Original,1,4.4,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",301583300050,"Power Key - Blue, Xiaomi Mi A3",Button/Key,"Leverbaar, alleen uit voorraad",Original,1,3.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",301583600050,"Volume Key - Blue, Xiaomi Mi A3",Button/Key,"Leverbaar, alleen uit voorraad",Original,1,3.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",301583700050,"Sim Tray - Black, Xiaomi Mi A3",Module SD SIM,"Leverbaar, alleen uit voorraad",Original,5,0.44,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",301583900050,"Sim Tray - Blue, Xiaomi Mi A3",Module SD SIM,"Leverbaar, alleen uit voorraad",Original,3,0.44,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",301586200050,"Sim Tray - Silver, Xiaomi Mi A3",Module SD SIM,"Leverbaar, alleen uit voorraad",Original,4,0.88,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000083U,"Double Side Adhesive Battery Cover, Xiaomi Note 10 Lite",Tapes,"Leverbaar, alleen uit voorraad",Original,4,4.53,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000G74Q,"Battery Cover Adhesive (version B), Xiaomi Mi 11 Lite 4G/Mi 11 Lite 5G",Tapes,"Leverbaar, alleen uit voorraad",Original,1,4.0,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000GC4E,"Rear Camera Adhesive, Xiaomi Mi 11 Lite 4G/Mi 11 Lite 5G",Camera,"Leverbaar, alleen uit voorraad",Original,1,3.39,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000GQ3U,"Battery Cover Adhesive, Xiaomi Poco F3/Mi 11X Pro",Tapes,"Leverbaar, alleen uit voorraad",Original,15,2.49,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000HP2R,"Battery Cover Adhesive, Xiaomi Redmi Note 10 Pro",Tapes,"Leverbaar, alleen uit voorraad",Original,25+,0.99,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000JE9T,"Battery Cover Adhesive, Xiaomi Redmi Note 10/Redmi Note 10S",Tapes,"Leverbaar, alleen uit voorraad",Original,2,3.36,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000JK9T,"Rear Camera Adhesive, Xiaomi Redmi Note 10/Redmi Note 10S",Camera,"Leverbaar, alleen uit voorraad",Original,2,3.33,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000L19T,"Rear Camera Adhesive, Xiaomi Redmi Note 10S",Camera,"Leverbaar, alleen uit voorraad",Original,2,3.39,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000QF3U,"Battery Cover Adhesive (Lower, single version), Xiaomi Mi 11T Pro",Tapes,"Leverbaar, alleen uit voorraad",Original,2,16.5,1,0
2S,2S_xiaomi.csv,2S_xiaomi.xlsx,"(474, 9)",32020000QJ3U,"Battery Cover Adhesive (Upper, single version), Xiaomi Mi 11T Pro",Tapes,"Leverbaar, alleen uit voorraad",Original,3,3.0,1,0
