dealer_name,filename2,filename,shape,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",,APPLE IPHONE,,,,,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",Product Code,Product Name,Quantity,Euro Price,Order,Total,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 0702,Screen 7G (2016) White SERVICE PACK,100+,23,0,0,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 1051,SCREEN XR (2018) Black SERVICE PACK,98,44,0,0,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 1061,Screen XS (2018) Black SERVICE PACK,37,82,0,0,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 1071,Screen XS MAX (2018) Black SERVICE PACK,76,102,0,0,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 1111,Screen-11G PRO (2019) Black SERVICE PACK,100+,98,0,0,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 1121,Screen-11G PRO MAX (2019) Black SERVICE PACK,64,139,0,0,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 1201,SCREEN-12G / 12G PRO (2020) BLACK SERVICE PACK,100+,122,0,0,,
apex,APEX.csv,APEX.csv.xlsx,"(10, 8)",I-LCD 1211,SCREEN-12G PRO / 12G (2020) BLACK SERVICE PACK,65,122,0,0,,
